"replicate","time","NO2","transfer"
"NV7",52.5,1503.102,10
"NV8",52.5,1533.4554,10
"NV9",52.5,1442.3952,10
"NV10",52.5,1719.912,10
"NV11",52.5,1472.7486,10
"NV12",52.5,1542.1278,10
"NV1",0,1,11
"NV2",0,1,11
"NV3",0,1,11
"NV4",0,1,11
"NV5",0,1,11
"NV6",0,1,11
"NV7",0,1,11
"NV8",0,1,11
"NV9",0,1,11
"NV1",17,461.0256,11
"NV2",17,415.4955,11
"NV3",17,413.3274,11
"NV4",17,350.4525,11
"NV5",17,369.9654,11
"NV6",17,367.7973,11
"NV7",17,424.1679,11
"NV8",17,380.8059,11
"NV9",17,580.2711,11
"NV1",26.5,661.4408,11
"NV2",26.5,630.582,11
"NV3",26.5,612.9484,11
"NV4",26.5,485.1048,11
"NV5",26.5,542.414,11
"NV6",26.5,555.6392,11
"NV7",26.5,608.54,11
"NV8",26.5,560.0476,11
"NV9",26.5,855.4104,11
"NV1",42,1128.7312,11
"NV2",42,1084.6472,11
"NV3",42,1031.7464,11
"NV4",42,1031.7464,11
"NV5",42,956.8036,11
"NV6",42,859.8188,11
"NV7",42,903.9028,11
"NV8",42,877.4524,11
"NV9",42,1432.9108,11
"NV1",48,1275.7588,11
"NV2",48,1266.9296,11
"NV3",48,1244.8566,11
"NV4",48,1156.5646,11
"NV5",48,1156.5646,11
"NV6",48,1108.004,11
"NV7",48,1213.9544,11
"NV8",48,1183.0522,11
"NV9",48,1492.0742,11
"NV1",0,1,12
"NV2",0,1,12
"NV3",0,1,12
"NV4",0,1,12
"NV5",0,1,12
"NV6",0,1,12
"NV7",0,1,12
"NV8",0,1,12
"NV9",0,1,12
"NV1",17.5,701.8911,12
"NV2",17.5,507.6487,12
"NV3",17.5,478.9538,12
"NV4",17.5,403.9056,12
"NV5",17.5,459.0881,12
"NV6",17.5,459.0881,12
"NV7",17.5,432.6005,12
"NV8",17.5,439.2224,12
"NV9",17.5,392.8691,12
"NV1",26,946.9014,12
"NV2",26,746.0371,12
"NV3",26,715.1349,12
"NV4",26,642.294,12
